IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.254.91,80,80,false,SIN,Asia Pacific,Singapore,30,10.35
8.219.117.98,2083,2083,true,SIN,Asia Pacific,Singapore,68,10.35
8.219.114.223,8443,8443,true,SIN,Asia Pacific,Singapore,63,10.35
8.219.102.93,8443,8443,true,SIN,Asia Pacific,Singapore,31,10.34
8.219.228.157,8080,8080,false,SIN,Asia Pacific,Singapore,39,10.34
47.91.3.179,2095,2095,false,NRT,Asia Pacific,Tokyo,86,10.34
8.222.174.213,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.34
47.74.27.94,2086,2086,false,NRT,Asia Pacific,Tokyo,180,10.34
47.245.57.109,8443,8443,true,NRT,Asia Pacific,Tokyo,270,10.33
8.219.102.93,2053,2053,true,SIN,Asia Pacific,Singapore,98,10.33
8.219.252.191,2086,2086,false,SIN,Asia Pacific,Singapore,33,10.33
47.245.113.62,80,80,false,SIN,Asia Pacific,Singapore,30,10.33
47.245.87.116,2096,2096,true,SIN,Asia Pacific,Singapore,44,10.33
47.74.0.188,2052,2052,false,NRT,Asia Pacific,Tokyo,149,10.33
47.74.54.33,2083,2083,true,NRT,Asia Pacific,Tokyo,77,10.33
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,108,10.33
8.222.245.188,2086,2086,false,SIN,Asia Pacific,Singapore,12,10.33
47.74.10.135,80,80,false,NRT,Asia Pacific,Tokyo,209,10.32
8.219.75.141,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.32
8.222.253.235,2082,2082,false,SIN,Asia Pacific,Singapore,21,10.32
47.74.34.38,2082,2082,false,NRT,Asia Pacific,Tokyo,166,10.32
47.236.102.195,80,0,false,SIN,Asia Pacific,Singapore,244,10.31
47.91.21.107,2052,2052,false,NRT,Asia Pacific,Tokyo,85,10.31
47.245.41.84,2082,2082,false,NRT,Asia Pacific,Tokyo,208,10.31
8.222.224.17,2052,2052,false,SIN,Asia Pacific,Singapore,30,10.31
47.245.126.232,2096,2096,true,SIN,Asia Pacific,Singapore,59,10.31
8.219.76.3,2096,2096,true,SIN,Asia Pacific,Singapore,58,10.31
47.245.3.137,2086,2086,false,NRT,Asia Pacific,Tokyo,344,10.31
47.245.1.35,8080,8080,false,NRT,Asia Pacific,Tokyo,439,10.30
8.222.240.10,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.30
8.219.101.138,2052,2052,false,SIN,Asia Pacific,Singapore,9,10.29
47.74.32.38,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.29
47.245.7.212,2052,2052,false,NRT,Asia Pacific,Tokyo,179,10.29
8.219.228.157,443,443,true,SIN,Asia Pacific,Singapore,81,10.29
47.245.56.121,2052,2052,false,NRT,Asia Pacific,Tokyo,158,10.29
47.91.22.115,8880,8880,false,NRT,Asia Pacific,Tokyo,305,10.29
8.218.110.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,10.28
47.245.52.240,2083,2083,true,NRT,Asia Pacific,Tokyo,205,10.27
8.219.140.229,2082,2082,false,SIN,Asia Pacific,Singapore,14,10.27
8.222.164.209,443,443,true,SIN,Asia Pacific,Singapore,50,10.26
47.91.21.149,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.26
47.74.54.1,8443,8443,true,NRT,Asia Pacific,Tokyo,141,10.26
47.245.118.93,2087,2087,true,SIN,Asia Pacific,Singapore,111,10.26
8.219.242.208,8443,8443,true,SIN,Asia Pacific,Singapore,69,10.26
47.245.114.114,8443,8443,true,SIN,Asia Pacific,Singapore,98,10.26
47.245.113.62,2083,2083,true,SIN,Asia Pacific,Singapore,76,10.26
47.245.5.56,8443,8443,true,NRT,Asia Pacific,Tokyo,172,10.25
8.219.120.146,2053,2053,true,SIN,Asia Pacific,Singapore,132,10.25
8.219.228.157,443,443,true,SIN,Asia Pacific,Singapore,74,10.25
47.74.26.131,2082,2082,false,NRT,Asia Pacific,Tokyo,87,10.25
8.209.215.247,2087,2087,true,NRT,Asia Pacific,Tokyo,70,10.24
47.245.121.223,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.24
47.245.52.202,8080,8080,false,NRT,Asia Pacific,Tokyo,269,10.24
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,18,10.24
8.219.116.85,2052,2052,false,SIN,Asia Pacific,Singapore,6,10.24
8.219.72.50,443,443,true,SIN,Asia Pacific,Singapore,141,10.24
8.219.102.132,2095,2095,false,SIN,Asia Pacific,Singapore,4,10.23
8.219.201.174,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.23
8.219.72.51,2095,2095,false,SIN,Asia Pacific,Singapore,5,10.23
47.245.29.64,8443,8443,true,NRT,Asia Pacific,Tokyo,441,10.23
8.219.106.15,8080,8080,false,SIN,Asia Pacific,Singapore,27,10.23
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,77,10.22
8.219.106.156,2083,2083,true,SIN,Asia Pacific,Singapore,92,10.22
8.222.212.219,2086,2086,false,SIN,Asia Pacific,Singapore,24,10.22
8.219.156.148,80,80,false,SIN,Asia Pacific,Singapore,24,10.22
47.91.2.5,2096,2096,true,NRT,Asia Pacific,Tokyo,84,10.22
47.245.5.234,2096,2096,true,NRT,Asia Pacific,Tokyo,100,10.22
8.219.160.178,2083,2083,true,SIN,Asia Pacific,Singapore,86,10.21
47.245.107.174,2052,2052,false,SIN,Asia Pacific,Singapore,43,10.21
8.222.214.13,2053,2053,true,SIN,Asia Pacific,Singapore,147,10.21
8.222.218.40,8443,8443,true,SIN,Asia Pacific,Singapore,116,10.21
47.74.15.80,2052,2052,false,NRT,Asia Pacific,Tokyo,153,10.21
47.245.37.12,2082,2082,false,NRT,Asia Pacific,Tokyo,203,10.21
8.222.212.219,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.21
8.219.114.221,8880,8880,false,SIN,Asia Pacific,Singapore,55,10.21
47.74.11.251,8880,8880,false,NRT,Asia Pacific,Tokyo,172,10.20
8.222.238.216,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.20
8.219.116.111,8443,8443,true,SIN,Asia Pacific,Singapore,112,10.20
8.222.244.123,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.20
8.209.252.13,2087,2087,true,NRT,Asia Pacific,Tokyo,364,10.20
47.245.40.161,2082,2082,false,NRT,Asia Pacific,Tokyo,201,10.20
47.74.11.9,2095,2095,false,NRT,Asia Pacific,Tokyo,75,10.20
47.236.23.242,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.20
8.222.212.172,8080,8080,false,SIN,Asia Pacific,Singapore,22,10.19
47.245.30.65,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.19
8.219.103.148,2053,2053,true,SIN,Asia Pacific,Singapore,131,10.19
8.222.147.102,2086,2086,false,SIN,Asia Pacific,Singapore,12,10.19
8.209.246.24,2087,2087,true,NRT,Asia Pacific,Tokyo,218,10.19
47.245.8.47,2087,2087,true,NRT,Asia Pacific,Tokyo,196,10.19
8.219.137.50,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.19
47.245.115.6,2087,2087,true,SIN,Asia Pacific,Singapore,1089,10.18
8.222.226.15,8880,8880,false,SIN,Asia Pacific,Singapore,23,10.18
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.18
8.222.239.214,2083,2083,true,SIN,Asia Pacific,Singapore,224,10.18
47.245.1.55,2096,2096,true,NRT,Asia Pacific,Tokyo,123,10.18
8.219.102.132,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.18
8.222.210.182,2083,2083,true,SIN,Asia Pacific,Singapore,47,10.18
47.74.54.1,2053,2053,true,NRT,Asia Pacific,Tokyo,90,10.17
8.219.114.221,2087,2087,true,SIN,Asia Pacific,Singapore,73,10.17
8.219.170.232,443,443,true,SIN,Asia Pacific,Singapore,51,10.17
8.219.157.97,8880,8880,false,SIN,Asia Pacific,Singapore,24,10.17
8.219.42.163,2082,2082,false,SIN,Asia Pacific,Singapore,45,10.17
47.245.52.165,80,80,false,NRT,Asia Pacific,Tokyo,329,10.17
8.219.247.203,80,80,false,SIN,Asia Pacific,Singapore,324,10.16
47.245.9.228,2096,2096,true,NRT,Asia Pacific,Tokyo,213,10.16
8.219.174.142,2086,2086,false,SIN,Asia Pacific,Singapore,46,10.16
8.222.180.242,2095,2095,false,SIN,Asia Pacific,Singapore,6,10.16
8.219.60.150,2095,2095,false,SIN,Asia Pacific,Singapore,24,10.16
8.219.99.8,2052,2052,false,SIN,Asia Pacific,Singapore,3,10.16
47.74.42.111,8080,8080,false,NRT,Asia Pacific,Tokyo,142,10.16
8.222.220.108,8443,8443,true,SIN,Asia Pacific,Singapore,135,10.16
47.245.87.116,8880,8880,false,SIN,Asia Pacific,Singapore,26,10.16
47.245.34.140,8880,8880,false,NRT,Asia Pacific,Tokyo,90,10.16
8.222.248.36,2082,2082,false,SIN,Asia Pacific,Singapore,22,10.16
8.219.140.229,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.15
8.219.254.128,2083,2083,true,SIN,Asia Pacific,Singapore,71,10.15
47.74.26.132,2082,2082,false,NRT,Asia Pacific,Tokyo,89,10.15
47.245.14.160,80,80,false,NRT,Asia Pacific,Tokyo,425,10.15
47.245.33.158,2087,2087,true,NRT,Asia Pacific,Tokyo,203,10.15
47.236.23.242,2083,2083,true,SIN,Asia Pacific,Singapore,112,10.14
47.245.11.216,8880,8880,false,NRT,Asia Pacific,Tokyo,356,10.14
47.74.26.131,2095,2095,false,NRT,Asia Pacific,Tokyo,219,10.14
47.245.42.210,8080,8080,false,NRT,Asia Pacific,Tokyo,73,10.14
47.245.42.162,8443,8443,true,NRT,Asia Pacific,Tokyo,118,10.14
8.219.67.133,2095,2095,false,SIN,Asia Pacific,Singapore,6,10.14
8.222.210.237,8880,8880,false,SIN,Asia Pacific,Singapore,52,10.14
8.219.238.145,2053,2053,true,SIN,Asia Pacific,Singapore,105,10.14
8.222.202.163,2053,2053,true,SIN,Asia Pacific,Singapore,76,10.14
47.245.126.232,2053,2053,true,SIN,Asia Pacific,Singapore,102,10.14
8.219.65.50,80,80,false,SIN,Asia Pacific,Singapore,21,10.14
8.219.60.150,8880,8880,false,SIN,Asia Pacific,Singapore,7,10.13
8.209.240.229,2082,2082,false,NRT,Asia Pacific,Tokyo,337,10.13
8.219.76.211,8443,8443,true,SIN,Asia Pacific,Singapore,69,10.13
